2026-04-26 17:16:07.339 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-26 17:16:07.376 [main] INFO  com.sfs.SfsApplication - Starting SfsApplication using Java 21.0.10 with PID 174808 (E:\IDE\IDEA\IDEproject\ShakeForSpeed\sfs\target\classes started by 24726 in E:\IDE\IDEA\IDEproject\ShakeForSpeed)
2026-04-26 17:16:07.376 [main] INFO  com.sfs.SfsApplication - The following 1 profile is active: "dev"
2026-04-26 17:16:10.458 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-04-26 17:23:02.274 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-26 17:23:02.305 [main] INFO  com.sfs.SfsApplication - Starting SfsApplication using Java 21.0.10 with PID 167508 (E:\IDE\IDEA\IDEproject\ShakeForSpeed\sfs\target\classes started by 24726 in E:\IDE\IDEA\IDEproject\ShakeForSpeed)
2026-04-26 17:23:02.306 [main] INFO  com.sfs.SfsApplication - The following 1 profile is active: "dev"
2026-04-26 17:23:03.212 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-26 17:23:03.214 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-26 17:23:03.235 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2026-04-26 17:23:03.908 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-26 17:23:03.920 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-26 17:23:03.921 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-26 17:23:03.921 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2026-04-26 17:23:03.979 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-26 17:23:03.979 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1640 ms
2026-04-26 17:23:04.140 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2026-04-26 17:23:04.156 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-04-26 17:28:02.307 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-26 17:28:02.341 [main] INFO  com.sfs.SfsApplication - Starting SfsApplication using Java 21.0.10 with PID 167720 (E:\IDE\IDEA\IDEproject\ShakeForSpeed\sfs\target\classes started by 24726 in E:\IDE\IDEA\IDEproject\ShakeForSpeed)
2026-04-26 17:28:02.342 [main] INFO  com.sfs.SfsApplication - The following 1 profile is active: "dev"
2026-04-26 17:28:03.115 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-26 17:28:03.135 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-26 17:28:03.161 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2026-04-26 17:28:03.669 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-26 17:28:03.682 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-26 17:28:03.684 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-26 17:28:03.684 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2026-04-26 17:28:03.729 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-26 17:28:03.730 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1360 ms
2026-04-26 17:28:04.135 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2026-04-26 17:28:04.147 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
